team_Rk,School,team_G,team_W,team_L,team_W-L%,team_SRS,team_SOS,team_,team_W,team_L,team_,team_W,team_L,team_,team_W,team_L,team_,team_Tm.,team_Opp.,team_,team_MP,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,opp_Rk,opp_G,opp_W,opp_L,opp_W-L%,opp_SRS,opp_SOS,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_Tm.,opp_Opp.,opp_,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,adv_team_Rk,adv_team_G,adv_team_W,adv_team_L,adv_team_W-L%,adv_team_SRS,adv_team_SOS,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_Tm.,adv_team_Opp.,adv_team_,adv_team_Pace,adv_team_ORtg,adv_team_FTr,adv_team_3PAr,adv_team_TS%,adv_team_TRB%,adv_team_AST%,adv_team_STL%,adv_team_BLK%,adv_team_eFG%,adv_team_TOV%,adv_team_ORB%,adv_team_FT/FGA,adv_opp_Rk,adv_opp_G,adv_opp_W,adv_opp_L,adv_opp_W-L%,adv_opp_SRS,adv_opp_SOS,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_Tm.,adv_opp_Opp.,adv_opp_,adv_opp_Pace,adv_opp_ORtg,adv_opp_FTr,adv_opp_3PAr,adv_opp_TS%,adv_opp_TRB%,adv_opp_AST%,adv_opp_STL%,adv_opp_BLK%,adv_opp_eFG%,adv_opp_TOV%,adv_opp_ORB%,adv_opp_FT/FGA
11,Arizona,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,1370,977,2067,.473,232,716,.324,593,756,.784,416,1346,554,262,146,390,566,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,1370,867,2088,.415,294,875,.336,435,609,.714,370,1113,461,218,91,400,601,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,70.2,115.6,.366,.346,.573,54.7,56.7,10.9,12.0,.529,13.8,35.9,.287,11,34,22,12,.647,23.12,13.82,,14,6,,13,3,,6,5,,2779,2463,,70.2,102.5,.292,.419,.518,45.3,53.2,9.1,6.7,.486,14.4,28.5,.208
12,Arizona State,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,1295,804,1836,.438,281,786,.358,477,659,.724,282,1093,412,172,142,395,543,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,1295,862,1963,.439,260,791,.329,463,613,.755,354,1192,467,243,119,363,581,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,69.9,104.6,.359,.428,.550,47.8,51.2,7.6,12.1,.514,15.5,25.2,.260,12,32,13,19,.406,11.19,13.72,,4,16,,5,9,,3,8,,2366,2447,,69.9,108.1,.312,.403,.543,52.2,54.2,10.7,11.3,.505,13.9,30.4,.236
13,Arkansas,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,1325,896,1922,.466,235,706,.333,501,683,.734,304,1165,477,251,186,385,532,13,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,1325,836,1992,.420,251,787,.319,425,586,.725,340,1139,406,224,86,409,571,13,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,70.4,108.3,.355,.367,.563,50.6,53.2,10.8,15.4,.527,14.6,27.6,.261,13,33,20,13,.606,16.64,11.18,,8,10,,14,4,,4,6,,2528,2348,,70.4,100.6,.294,.395,.517,49.4,48.6,9.6,7.1,.483,15.3,28.3,.213
14,Arkansas State,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,1370,922,2174,.424,315,982,.321,533,730,.730,457,1390,478,249,156,363,627,14,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,1370,820,2041,.402,210,700,.300,535,759,.705,411,1289,404,218,121,414,574,14,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,70.5,111.4,.336,.452,.534,51.9,51.8,10.3,11.6,.497,12.6,34.2,.245,14,34,24,10,.706,5.22,-2.78,,13,5,,13,2,,8,5,,2692,2385,,70.5,98.7,.372,.343,.497,48.1,49.3,9.0,10.2,.453,14.7,30.6,.262
15,Arkansas-Pine Bluff,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,1240,834,1838,.454,225,696,.323,349,589,.593,306,1053,452,220,66,449,588,15,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,1240,894,1888,.474,296,841,.352,518,759,.682,364,1195,522,283,99,385,505,15,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,73.1,99.0,.320,.379,.529,46.8,54.2,9.7,6.3,.515,17.5,26.9,.190,15,31,6,25,.194,-24.12,-8.22,,3,15,,4,8,,2,17,,2242,2602,,73.1,114.9,.402,.445,.579,53.2,58.4,12.5,8.7,.552,14.6,32.8,.274
16,Army,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,1270,842,1911,.441,253,805,.314,331,483,.685,312,1082,438,207,68,319,482,16,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,1270,859,1873,.459,267,788,.339,342,492,.695,314,1145,460,190,96,360,472,16,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,67.7,105.5,.253,.421,.530,48.6,52.0,9.6,6.3,.507,13.0,27.3,.173,16,31,16,15,.516,-12.47,-7.26,,10,8,,12,4,,4,11,,2268,2327,,67.7,108.2,.263,.421,.552,51.4,53.6,8.8,8.7,.530,14.6,29.0,.183
17,Auburn,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,1325,980,2031,.483,303,824,.368,504,681,.740,385,1223,544,230,204,305,614,17,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,1325,778,1901,.409,193,661,.292,548,746,.735,364,1100,313,200,90,397,578,17,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,68.9,121.3,.335,.406,.588,52.6,55.5,10.1,16.5,.557,11.5,34.3,.248,17,33,28,5,.848,29.57,15.33,,15,3,,13,2,,8,2,,2767,2297,,68.9,100.7,.392,.348,.509,47.4,40.2,8.8,7.5,.460,15.0,30.3,.288
18,Austin Peay,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,1335,836,1980,.422,280,810,.346,410,570,.719,326,1085,416,229,87,327,589,18,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,1335,868,1867,.465,253,676,.374,483,664,.727,339,1233,448,187,152,390,485,18,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,67.2,105.3,.288,.409,.525,46.8,49.8,10.2,7.3,.493,12.7,26.7,.207,18,33,14,19,.424,-9.15,-3.44,,8,10,,8,5,,4,13,,2362,2472,,67.2,110.2,.356,.362,.566,53.2,51.6,8.3,13.0,.533,15.2,30.9,.259
19,Ball State,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,1250,781,1718,.455,221,641,.345,553,785,.704,292,1101,407,154,67,363,507,19,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,1250,829,1867,.444,233,750,.311,409,564,.725,298,1062,433,201,87,313,618,19,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,69.0,108.4,.457,.373,.559,50.9,52.1,7.1,6.0,.519,14.8,27.7,.322,19,31,14,17,.452,-7.76,-6.30,,7,11,,8,7,,4,9,,2336,2300,,69.0,106.7,.302,.402,.539,49.1,52.2,9.3,8.1,.506,12.8,26.9,.219
20,Baylor,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,1345,894,1995,.448,280,797,.351,455,611,.745,420,1187,482,252,95,363,538,20,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,1345,798,1841,.433,261,746,.350,425,610,.697,339,1079,476,197,130,420,551,20,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,66.0,113.6,.306,.399,.552,52.4,53.9,11.4,8.7,.518,13.7,36.2,.228,20,33,19,14,.576,19.42,13.57,,10,10,,13,3,,3,9,,2523,2282,,66.0,102.8,.331,.405,.535,47.6,59.6,8.9,10.9,.504,16.5,30.7,.231
