team_Rk,School,team_G,team_W,team_L,team_W-L%,team_SRS,team_SOS,team_,team_W,team_L,team_,team_W,team_L,team_,team_W,team_L,team_,team_Tm.,team_Opp.,team_,team_MP,team_FG,team_FGA,team_FG%,team_3P,team_3PA,team_3P%,team_FT,team_FTA,team_FT%,team_ORB,team_TRB,team_AST,team_STL,team_BLK,team_TOV,team_PF,opp_Rk,opp_G,opp_W,opp_L,opp_W-L%,opp_SRS,opp_SOS,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_W,opp_L,opp_,opp_Tm.,opp_Opp.,opp_,opp_MP,opp_FG,opp_FGA,opp_FG%,opp_3P,opp_3PA,opp_3P%,opp_FT,opp_FTA,opp_FT%,opp_ORB,opp_TRB,opp_AST,opp_STL,opp_BLK,opp_TOV,opp_PF,adv_team_Rk,adv_team_G,adv_team_W,adv_team_L,adv_team_W-L%,adv_team_SRS,adv_team_SOS,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_W,adv_team_L,adv_team_,adv_team_Tm.,adv_team_Opp.,adv_team_,adv_team_Pace,adv_team_ORtg,adv_team_FTr,adv_team_3PAr,adv_team_TS%,adv_team_TRB%,adv_team_AST%,adv_team_STL%,adv_team_BLK%,adv_team_eFG%,adv_team_TOV%,adv_team_ORB%,adv_team_FT/FGA,adv_opp_Rk,adv_opp_G,adv_opp_W,adv_opp_L,adv_opp_W-L%,adv_opp_SRS,adv_opp_SOS,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_W,adv_opp_L,adv_opp_,adv_opp_Tm.,adv_opp_Opp.,adv_opp_,adv_opp_Pace,adv_opp_ORtg,adv_opp_FTr,adv_opp_3PAr,adv_opp_TS%,adv_opp_TRB%,adv_opp_AST%,adv_opp_STL%,adv_opp_BLK%,adv_opp_eFG%,adv_opp_TOV%,adv_opp_ORB%,adv_opp_FT/FGA
92,Florida State,32,17,15,.531,8.80,6.80,,8,12,,11,5,,2,9,,2383,2319,,1285,834,1838,.454,196,619,.317,519,724,.717,326,1107,417,243,152,393,611,92,32,17,15,.531,8.80,6.80,,8,12,,11,5,,2,9,,2383,2319,,1285,779,1864,.418,251,785,.320,510,699,.730,364,1136,395,198,86,431,608,92,32,17,15,.531,8.80,6.80,,8,12,,11,5,,2,9,,2383,2319,,70.2,105.6,.394,.337,.546,49.4,50.0,10.8,14.1,.507,15.3,29.7,.282,92,32,17,15,.531,8.80,6.80,,8,12,,11,5,,2,9,,2383,2319,,70.2,102.8,.375,.421,.528,50.6,50.7,8.8,7.1,.485,16.4,31.8,.274
93,Fordham,33,12,21,.364,-3.86,1.17,,3,15,,8,8,,2,10,,2452,2573,,1335,850,2008,.423,272,836,.325,480,668,.719,400,1198,452,250,115,434,618,93,33,12,21,.364,-3.86,1.17,,3,15,,8,8,,2,10,,2452,2573,,1335,911,1942,.469,217,622,.349,534,746,.716,346,1199,447,241,120,398,578,93,33,12,21,.364,-3.86,1.17,,3,15,,8,8,,2,10,,2452,2573,,70.5,104.2,.333,.416,.527,50.0,53.2,10.6,8.7,.491,15.7,31.9,.239,93,33,12,21,.364,-3.86,1.17,,3,15,,8,8,,2,10,,2452,2573,,70.5,109.3,.384,.320,.560,50.0,49.1,10.2,10.2,.525,14.8,30.2,.275
94,Fresno State,32,6,26,.188,-5.25,4.76,,2,18,,5,9,,1,14,,2262,2582,,1315,782,1927,.406,213,680,.313,485,701,.692,338,1113,344,242,103,412,494,94,32,6,26,.188,-5.25,4.76,,2,18,,5,9,,1,14,,2262,2582,,1315,964,2068,.466,304,890,.342,350,485,.722,400,1313,555,216,132,418,586,94,32,6,26,.188,-5.25,4.76,,2,18,,5,9,,1,14,,2262,2582,,70.7,97.3,.364,.353,.500,45.9,44.0,10.4,8.7,.461,15.4,27.0,.252,94,32,6,26,.188,-5.25,4.76,,2,18,,5,9,,1,14,,2262,2582,,70.7,111.0,.235,.430,.562,54.1,57.6,9.3,10.6,.540,15.4,34.0,.169
95,Furman,34,25,9,.735,0.05,-3.53,,11,7,,13,3,,9,5,,2638,2368,,1375,901,1970,.457,370,1007,.367,466,677,.688,358,1241,580,225,114,380,509,95,34,25,9,.735,0.05,-3.53,,11,7,,13,3,,9,5,,2638,2368,,1375,849,2024,.419,250,792,.316,420,573,.733,368,1171,400,240,103,387,560,95,34,25,9,.735,0.05,-3.53,,11,7,,13,3,,9,5,,2638,2368,,67.3,114.0,.344,.511,.576,51.5,64.4,9.7,9.3,.551,14.2,30.8,.237,95,34,25,9,.735,0.05,-3.53,,11,7,,13,3,,9,5,,2638,2368,,67.3,102.3,.283,.391,.516,48.5,47.1,10.4,10.7,.481,14.4,29.4,.208
96,Gardner-Webb,31,11,20,.355,-7.98,-3.63,,5,11,,5,6,,3,13,,2287,2422,,1240,824,1775,.464,194,588,.330,445,643,.692,356,1129,325,161,101,453,583,96,31,11,20,.355,-7.98,-3.63,,5,11,,5,6,,3,13,,2287,2422,,1240,853,1859,.459,228,706,.323,488,692,.705,335,1044,432,246,101,321,567,96,31,11,20,.355,-7.98,-3.63,,5,11,,5,6,,3,13,,2287,2422,,70.2,105.1,.362,.331,.550,52.0,39.4,7.4,8.8,.519,17.9,33.4,.251,96,31,11,20,.355,-7.98,-3.63,,5,11,,5,6,,3,13,,2287,2422,,70.2,111.3,.372,.380,.554,48.0,50.6,11.3,8.5,.520,12.8,30.2,.263
97,George Mason,34,26,8,.765,7.71,1.22,,15,3,,17,1,,7,6,,2411,2152,,1390,822,1807,.455,233,658,.354,534,747,.715,347,1251,429,253,116,444,563,97,34,26,8,.765,7.71,1.22,,15,3,,17,1,,7,6,,2411,2152,,1390,730,1924,.379,263,872,.302,429,601,.714,366,1094,385,244,114,427,635,97,34,26,8,.765,7.71,1.22,,15,3,,17,1,,7,6,,2411,2152,,65.2,106.5,.413,.364,.558,53.3,52.2,11.2,11.0,.519,17.0,32.3,.296,97,34,26,8,.765,7.71,1.22,,15,3,,17,1,,7,6,,2411,2152,,65.2,95.0,.312,.453,.487,46.7,52.7,10.8,9.9,.448,16.2,28.8,.223
98,George Washington,33,21,12,.636,3.05,-1.70,,9,9,,13,4,,5,6,,2430,2238,,1335,830,1858,.447,245,773,.317,523,747,.700,363,1159,463,295,102,407,499,98,33,21,12,.636,3.05,-1.70,,9,9,,13,4,,5,6,,2430,2238,,1335,810,1929,.420,238,757,.314,380,519,.732,383,1144,423,256,146,441,572,98,33,21,12,.636,3.05,-1.70,,9,9,,13,4,,5,6,,2430,2238,,67.3,108.2,.402,.416,.549,50.3,55.8,13.1,8.7,.513,15.5,32.3,.281,98,33,21,12,.636,3.05,-1.70,,9,9,,13,4,,5,6,,2430,2238,,67.3,99.7,.269,.392,.514,49.7,52.2,11.4,13.5,.482,16.9,32.5,.197
99,Georgetown,32,17,15,.531,8.70,5.86,,8,12,,14,5,,3,9,,2293,2202,,1280,857,1926,.445,229,720,.318,350,496,.706,356,1125,458,254,122,374,499,99,32,17,15,.531,8.70,5.86,,8,12,,14,5,,3,9,,2293,2202,,1280,777,1821,.427,244,721,.338,404,533,.758,313,1084,427,225,115,428,483,99,32,17,15,.531,8.70,5.86,,8,12,,14,5,,3,9,,2293,2202,,68.3,105.0,.258,.374,.530,50.9,53.4,11.6,11.1,.504,14.7,31.6,.182,99,32,17,15,.531,8.70,5.86,,8,12,,14,5,,3,9,,2293,2202,,68.3,100.8,.293,.396,.531,49.1,55.0,10.3,9.5,.494,17.1,28.9,.222
100,Georgia,32,20,12,.625,17.23,10.98,,8,10,,15,3,,3,7,,2418,2218,,1280,839,1810,.464,223,666,.335,517,721,.717,378,1172,399,247,166,413,535,100,32,20,12,.625,17.23,10.98,,8,10,,15,3,,3,7,,2418,2218,,1280,777,1899,.409,238,771,.309,426,578,.737,370,1039,379,259,106,395,632,100,32,20,12,.625,17.23,10.98,,8,10,,15,3,,3,7,,2418,2218,,68.5,110.3,.398,.368,.562,53.0,47.6,11.3,14.7,.525,16.1,36.1,.286,100,32,20,12,.625,17.23,10.98,,8,10,,15,3,,3,7,,2418,2218,,68.5,101.1,.304,.406,.510,47.0,48.8,11.8,9.3,.472,15.4,31.8,.224
101,Georgia Southern,33,17,16,.515,-7.39,-5.33,,8,10,,11,3,,4,11,,2449,2505,,1340,887,2063,.430,313,912,.343,362,550,.658,423,1234,450,260,123,444,648,101,33,17,16,.515,-7.39,-5.33,,8,10,,11,3,,4,11,,2449,2505,,1340,836,1924,.435,245,765,.320,588,825,.713,399,1259,426,227,140,429,514,101,33,17,16,.515,-7.39,-5.33,,8,10,,11,3,,4,11,,2449,2505,,70.0,104.4,.267,.442,.527,49.5,50.7,11.1,10.6,.506,16.0,33.0,.175,101,33,17,16,.515,-7.39,-5.33,,8,10,,11,3,,4,11,,2449,2505,,70.0,106.8,.429,.398,.541,50.5,51.0,9.7,12.2,.498,15.6,33.0,.306
102,Georgia State,33,14,19,.424,-7.37,-2.87,,8,10,,9,6,,3,11,,2479,2583,,1325,898,1998,.449,233,675,.345,450,656,.686,393,1255,401,173,97,391,523,102,33,14,19,.424,-7.37,-2.87,,8,10,,9,6,,3,11,,2479,2583,,1325,944,2138,.442,293,889,.330,402,561,.717,398,1188,503,229,114,308,554,102,33,14,19,.424,-7.37,-2.87,,8,10,,9,6,,3,11,,2479,2583,,69.8,107.3,.328,.338,.537,51.4,44.7,7.5,7.8,.508,14.5,33.2,.225,102,33,14,19,.424,-7.37,-2.87,,8,10,,9,6,,3,11,,2479,2583,,69.8,111.8,.262,.416,.537,48.6,53.3,9.9,8.6,.510,11.4,31.6,.188
103,Georgia Tech,33,17,16,.515,7.30,6.36,,10,10,,14,5,,2,9,,2421,2390,,1340,876,1983,.442,245,718,.341,424,618,.686,362,1232,485,192,122,403,528,103,33,17,16,.515,7.30,6.36,,10,10,,14,5,,2,9,,2421,2390,,1340,844,2019,.418,283,818,.346,419,576,.727,348,1171,462,233,123,361,542,103,33,17,16,.515,7.30,6.36,,10,10,,14,5,,2,9,,2421,2390,,69.0,104.7,.312,.362,.532,51.3,55.4,8.3,10.2,.504,15.0,30.5,.214,103,33,17,16,.515,7.30,6.36,,10,10,,14,5,,2,9,,2421,2390,,69.0,103.4,.285,.405,.521,48.7,54.7,10.1,9.7,.488,13.6,28.6,.208
104,Gonzaga,33,25,8,.758,23.62,6.62,,14,4,,13,2,,8,2,,2859,2298,,1335,1049,2100,.500,242,703,.344,519,648,.801,369,1274,649,251,98,311,550,104,33,25,8,.758,23.62,6.62,,14,4,,13,2,,8,2,,2859,2298,,1335,821,1983,.414,243,805,.302,413,567,.728,325,1085,398,173,113,429,588,104,33,25,8,.758,23.62,6.62,,14,4,,13,2,,8,2,,2859,2298,,70.5,121.5,.309,.335,.594,54.0,61.9,10.7,8.3,.557,11.4,32.7,.247,104,33,25,8,.758,23.62,6.62,,14,4,,13,2,,8,2,,2859,2298,,70.5,97.7,.286,.406,.510,46.0,48.5,7.4,8.1,.475,16.0,26.4,.208
105,Grambling,34,12,22,.353,-12.32,-7.45,,7,11,,6,7,,4,12,,2271,2301,,1370,800,1863,.429,219,648,.338,452,620,.729,300,1145,387,227,126,431,557,105,34,12,22,.353,-12.32,-7.45,,7,11,,6,7,,4,12,,2271,2301,,1370,816,1955,.417,234,673,.348,435,589,.739,357,1180,431,266,116,420,520,105,34,12,22,.353,-12.32,-7.45,,7,11,,6,7,,4,12,,2271,2301,,67.0,99.0,.333,.348,.526,49.2,48.4,9.9,9.8,.488,16.7,26.7,.243,105,34,12,22,.353,-12.32,-7.45,,7,11,,6,7,,4,12,,2271,2301,,67.0,100.3,.301,.344,.515,50.8,52.8,11.6,9.5,.477,15.8,29.7,.223
106,Grand Canyon,33,26,7,.788,5.81,-3.04,,13,3,,16,1,,5,4,,2612,2281,,1325,890,1932,.461,206,654,.315,626,854,.733,368,1233,465,310,168,435,574,106,33,26,7,.788,5.81,-3.04,,13,3,,16,1,,5,4,,2612,2281,,1325,805,1966,.409,217,685,.317,454,619,.733,346,1102,390,222,110,499,670,106,33,26,7,.788,5.81,-3.04,,13,3,,16,1,,5,4,,2612,2281,,72.7,108.4,.442,.339,.559,52.8,52.2,12.9,13.1,.514,15.7,32.7,.324,106,33,26,7,.788,5.81,-3.04,,13,3,,16,1,,5,4,,2612,2281,,72.7,94.7,.315,.348,.505,47.2,48.4,9.2,8.6,.465,18.1,28.6,.231
107,Green Bay,32,4,28,.125,-13.23,-2.55,,2,18,,3,11,,1,17,,2237,2570,,1285,742,1716,.432,259,788,.329,494,630,.784,197,958,447,157,64,401,583,107,32,4,28,.125,-13.23,-2.55,,2,18,,3,11,,1,17,,2237,2570,,1285,909,1923,.473,285,765,.373,467,677,.690,349,1185,505,214,125,320,549,107,32,4,28,.125,-13.23,-2.55,,2,18,,3,11,,1,17,,2237,2570,,69.0,100.9,.367,.459,.555,44.7,60.2,7.1,5.5,.508,16.6,19.1,.288,107,32,4,28,.125,-13.23,-2.55,,2,18,,3,11,,1,17,,2237,2570,,69.0,115.9,.352,.398,.572,55.3,55.6,9.7,13.5,.547,12.5,31.4,.243
108,Hampton,33,17,16,.515,-4.93,-3.73,,8,10,,10,4,,4,9,,2391,2309,,1325,856,2010,.426,247,741,.333,430,604,.712,435,1196,391,248,100,356,602,108,33,17,16,.515,-4.93,-3.73,,8,10,,10,4,,4,9,,2391,2309,,1325,791,1736,.456,212,641,.331,515,718,.717,284,1083,429,193,102,427,521,108,33,17,16,.515,-4.93,-3.73,,8,10,,10,4,,4,9,,2391,2309,,67.0,107.8,.300,.369,.520,52.5,45.7,11.2,9.1,.487,13.4,35.3,.214,108,33,17,16,.515,-4.93,-3.73,,8,10,,10,4,,4,9,,2391,2309,,67.0,104.1,.414,.369,.556,47.5,54.2,8.7,8.0,.517,17.1,27.2,.297
109,Harvard,27,12,15,.444,-7.57,-3.61,,7,7,,7,5,,5,10,,1848,1945,,1085,679,1532,.443,197,611,.322,293,382,.767,224,854,369,199,77,322,383,109,27,12,15,.444,-7.57,-3.61,,7,7,,7,5,,5,10,,1848,1945,,1085,729,1587,.459,198,590,.336,289,386,.749,279,947,375,186,91,316,374,109,27,12,15,.444,-7.57,-3.61,,7,7,,7,5,,5,10,,1848,1945,,66.7,102.1,.249,.399,.539,47.4,54.3,11.0,7.7,.508,15.8,25.1,.191,109,27,12,15,.444,-7.57,-3.61,,7,7,,7,5,,5,10,,1848,1945,,66.7,107.5,.243,.372,.549,52.6,51.4,10.3,9.9,.522,15.1,30.7,.182
110,Hawaii,31,15,16,.484,-3.13,-0.58,,7,13,,13,7,,2,9,,2173,2208,,1250,745,1658,.449,203,634,.320,480,650,.738,308,1103,368,110,73,418,548,110,31,15,16,.484,-3.13,-0.58,,7,13,,13,7,,2,9,,2173,2208,,1250,782,1794,.436,205,583,.352,439,588,.747,258,933,319,229,80,277,599,110,31,15,16,.484,-3.13,-0.58,,7,13,,13,7,,2,9,,2173,2208,,66.7,104.2,.392,.382,.552,54.2,49.4,5.3,6.0,.511,17.5,31.3,.290,110,31,15,16,.484,-3.13,-0.58,,7,13,,13,7,,2,9,,2173,2208,,66.7,105.9,.328,.325,.532,45.8,40.8,11.0,7.8,.493,11.8,24.5,.245
111,High Point,34,29,5,.853,5.39,-5.80,,14,2,,16,1,,7,3,,2795,2338,,1365,977,1978,.494,280,770,.364,561,735,.763,383,1239,441,210,98,354,613,111,34,29,5,.853,5.39,-5.80,,14,2,,16,1,,7,3,,2795,2338,,1365,818,1921,.426,225,688,.327,477,680,.701,347,1044,352,170,93,398,625,111,34,29,5,.853,5.39,-5.80,,14,2,,16,1,,7,3,,2795,2338,,67.3,121.7,.372,.389,.601,54.3,45.1,9.1,7.9,.565,13.2,35.5,.284,111,34,29,5,.853,5.39,-5.80,,14,2,,16,1,,7,3,,2795,2338,,67.3,101.8,.354,.358,.521,45.7,43.0,7.4,7.7,.484,15.1,28.8,.248
112,Hofstra,33,15,18,.455,-4.73,-3.63,,6,12,,6,7,,5,9,,2202,2141,,1340,794,1861,.427,273,802,.340,341,477,.715,290,1173,447,196,130,371,580,112,33,15,18,.455,-4.73,-3.63,,6,12,,6,7,,5,9,,2202,2141,,1340,707,1833,.386,249,737,.338,478,680,.703,336,1176,376,197,94,362,506,112,33,15,18,.455,-4.73,-3.63,,6,12,,6,7,,5,9,,2202,2141,,64.9,101.2,.256,.431,.527,49.9,56.3,9.0,11.9,.500,15.1,25.7,.183,112,33,15,18,.455,-4.73,-3.63,,6,12,,6,7,,5,9,,2202,2141,,64.9,98.4,.371,.402,.497,50.1,53.2,9.1,8.9,.454,14.4,27.6,.261
113,Holy Cross,32,13,19,.406,-12.27,-7.10,,5,13,,7,6,,4,13,,2227,2307,,1290,824,1806,.456,292,754,.387,287,398,.721,239,1042,398,148,92,382,441,113,32,13,19,.406,-12.27,-7.10,,5,13,,7,6,,4,13,,2227,2307,,1290,872,1902,.458,242,728,.332,321,469,.684,292,1076,454,213,80,299,439,113,32,13,19,.406,-12.27,-7.10,,5,13,,7,6,,4,13,,2227,2307,,66.2,104.3,.220,.417,.558,49.2,48.3,6.9,7.8,.537,16.1,23.4,.159,113,32,13,19,.406,-12.27,-7.10,,5,13,,7,6,,4,13,,2227,2307,,66.2,108.1,.247,.383,.543,50.8,52.1,10.0,7.6,.522,12.3,26.7,.169
114,Houston,34,30,4,.882,28.44,12.70,,19,1,,16,1,,10,0,,2523,1988,,1385,916,1999,.458,274,689,.398,417,563,.741,417,1231,407,270,157,316,557,114,34,30,4,.882,28.44,12.70,,19,1,,16,1,,10,0,,2523,1988,,1385,667,1743,.383,232,751,.309,422,595,.709,337,1074,367,168,86,469,550,114,34,30,4,.882,28.44,12.70,,19,1,,16,1,,10,0,,2523,1988,,62.4,116.7,.282,.345,.557,53.4,44.4,12.5,15.8,.527,12.2,36.1,.209,114,34,30,4,.882,28.44,12.70,,19,1,,16,1,,10,0,,2523,1988,,62.4,92.0,.341,.431,.491,46.6,55.0,7.8,6.6,.449,18.8,29.3,.242
115,Houston Christian,32,12,20,.375,-8.19,-2.99,,9,11,,8,7,,4,12,,2111,2220,,1280,742,1753,.423,251,769,.326,376,547,.687,296,1000,348,252,115,374,435,115,32,12,20,.375,-8.19,-2.99,,9,11,,8,7,,4,12,,2111,2220,,1280,838,1782,.470,181,563,.321,363,520,.698,322,1133,370,240,98,381,478,115,32,12,20,.375,-8.19,-2.99,,9,11,,8,7,,4,12,,2111,2220,,65.3,101.0,.312,.439,.524,46.9,46.9,12.1,9.4,.495,15.7,26.7,.214,115,32,12,20,.375,-8.19,-2.99,,9,11,,8,7,,4,12,,2111,2220,,65.3,106.2,.292,.316,.547,53.1,44.2,11.5,10.0,.521,15.8,31.4,.204
116,Howard,32,12,20,.375,-11.77,-6.63,,7,7,,8,6,,3,11,,2480,2538,,1290,854,1837,.465,273,733,.372,499,675,.739,320,1090,507,180,97,478,612,116,32,12,20,.375,-11.77,-6.63,,7,7,,8,6,,3,11,,2480,2538,,1290,871,1913,.455,220,649,.339,576,753,.765,350,1094,390,235,90,377,597,116,32,12,20,.375,-11.77,-6.63,,7,7,,8,6,,3,11,,2480,2538,,71.5,107.5,.367,.399,.575,49.9,59.4,7.8,7.7,.539,18.1,30.1,.272,116,32,12,20,.375,-11.77,-6.63,,7,7,,8,6,,3,11,,2480,2538,,71.5,110.0,.394,.339,.559,50.1,44.8,10.2,8.2,.513,14.2,31.3,.301
128,IU Indy,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,1285,803,1873,.429,328,878,.374,468,632,.741,366,1073,436,199,64,329,560,128,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,1285,866,1822,.475,270,765,.353,456,617,.739,317,1099,509,174,126,355,523,128,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,66.8,112.0,.337,.469,.553,49.4,54.3,9.3,6.1,.516,13.1,31.9,.250,128,32,10,22,.313,-11.51,-4.23,,6,14,,6,8,,4,12,,2402,2458,,66.8,114.6,.339,.420,.581,50.6,58.8,8.1,12.7,.549,14.4,31.0,.250
117,Idaho,33,14,19,.424,-7.60,-3.08,,8,10,,8,6,,5,11,,2430,2493,,1325,823,1871,.440,308,885,.348,476,634,.751,337,1113,405,194,93,390,589,117,33,14,19,.424,-7.60,-3.08,,8,10,,8,6,,5,11,,2430,2493,,1325,882,1892,.466,261,750,.348,468,678,.690,342,1131,452,218,103,351,557,117,33,14,19,.424,-7.60,-3.08,,8,10,,8,6,,5,11,,2430,2493,,67.1,109.3,.339,.473,.559,49.6,49.2,8.7,8.1,.522,15.2,29.9,.254,117,33,14,19,.424,-7.60,-3.08,,8,10,,8,6,,5,11,,2430,2493,,67.1,112.1,.358,.396,.563,50.4,51.2,9.8,10.4,.535,13.7,30.6,.247
118,Idaho State,30,15,15,.500,-3.62,-3.69,,10,8,,10,4,,5,10,,2230,2099,,1205,779,1809,.431,221,681,.325,451,608,.742,422,1143,398,181,135,321,494,118,30,15,15,.500,-3.62,-3.69,,10,8,,10,4,,5,10,,2230,2099,,1205,758,1662,.456,231,619,.373,352,508,.693,243,883,406,175,114,364,543,118,30,15,15,.500,-3.62,-3.69,,10,8,,10,4,,5,10,,2230,2099,,66.7,110.9,.336,.376,.532,56.4,51.1,9.0,12.9,.492,13.3,39.7,.249,118,30,15,15,.500,-3.62,-3.69,,10,8,,10,4,,5,10,,2230,2099,,66.7,104.4,.306,.372,.551,43.6,53.6,8.7,10.1,.526,16.1,25.2,.212
119,Illinois,33,21,12,.636,21.70,12.49,,12,8,,13,4,,5,5,,2766,2462,,1331,951,2113,.450,309,992,.311,555,731,.759,431,1403,494,145,138,381,534,119,33,21,12,.636,21.70,12.49,,12,8,,13,4,,5,5,,2766,2462,,1331,915,2168,.422,219,658,.333,413,580,.712,347,1113,419,210,99,305,604,119,33,21,12,.636,21.70,12.49,,12,8,,13,4,,5,5,,2766,2462,,72.4,115.0,.346,.469,.562,55.8,51.9,6.0,9.1,.523,13.4,36.0,.263,119,33,21,12,.636,21.70,12.49,,12,8,,13,4,,5,5,,2766,2462,,72.4,102.3,.268,.304,.504,44.2,45.8,8.7,8.8,.473,11.1,26.3,.190
120,Illinois State,33,19,14,.576,1.85,-0.12,,10,10,,12,4,,5,7,,2492,2374,,1325,876,1833,.478,330,879,.375,410,548,.748,257,1065,479,188,56,344,549,120,33,19,14,.576,1.85,-0.12,,10,10,,12,4,,5,7,,2492,2374,,1325,832,1825,.456,285,795,.358,425,569,.747,257,1034,416,174,83,363,567,120,33,19,14,.576,1.85,-0.12,,10,10,,12,4,,5,7,,2492,2374,,66.1,113.7,.299,.480,.595,50.7,54.7,8.6,5.4,.568,14.1,24.9,.224,120,33,19,14,.576,1.85,-0.12,,10,10,,12,4,,5,7,,2492,2374,,66.1,108.4,.312,.436,.567,49.3,50.0,7.9,8.7,.534,14.8,24.1,.233
121,Illinois-Chicago,31,17,14,.548,-0.59,0.62,,10,10,,9,5,,7,6,,2357,2286,,1260,831,1827,.455,250,716,.349,445,619,.719,328,1119,476,210,97,375,548,121,31,17,14,.548,-0.59,0.62,,10,10,,9,5,,7,6,,2357,2286,,1260,826,1850,.446,223,664,.336,411,579,.710,294,1043,472,208,113,357,539,121,31,17,14,.548,-0.59,0.62,,10,10,,9,5,,7,6,,2357,2286,,69.1,108.2,.339,.392,.556,51.8,57.3,9.6,8.2,.523,15.0,30.5,.244,121,31,17,14,.548,-0.59,0.62,,10,10,,9,5,,7,6,,2357,2286,,69.1,105.0,.313,.359,.538,48.2,57.1,9.5,10.2,.507,14.4,27.1,.222
122,Incarnate Word,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,1330,891,1918,.465,262,695,.377,363,533,.681,395,1159,411,225,125,387,536,122,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,1330,811,1811,.448,210,593,.354,442,622,.711,333,1041,391,223,108,392,496,122,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,65.1,111.2,.278,.362,.554,52.7,46.1,10.4,10.3,.533,15.1,35.8,.189,122,33,17,16,.515,-6.47,-5.44,,9,11,,11,5,,4,10,,2407,2274,,65.1,105.1,.343,.327,.540,47.3,48.2,10.3,8.8,.506,15.7,30.4,.244
123,Indiana,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,1285,871,1902,.458,203,632,.321,444,629,.706,349,1166,509,186,107,371,531,123,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,1285,827,1904,.434,242,741,.327,409,564,.725,320,1079,428,216,104,363,574,123,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,69.1,107.7,.331,.332,.543,51.9,58.4,8.4,9.2,.511,14.4,31.5,.233,123,32,19,13,.594,14.59,11.97,,10,10,,14,4,,4,6,,2389,2305,,69.1,103.9,.296,.389,.531,48.1,51.8,9.7,8.2,.498,14.3,28.1,.215
124,Indiana State,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,1295,877,1884,.465,323,931,.347,486,649,.749,294,1139,502,219,71,448,586,124,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,1295,893,1934,.462,257,736,.349,502,703,.714,304,1110,427,257,107,376,553,124,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,72.4,109.4,.344,.494,.585,50.6,57.2,9.3,5.9,.551,17.0,26.7,.258,124,32,14,18,.438,-3.13,-0.63,,8,12,,8,6,,4,9,,2563,2545,,72.4,108.6,.363,.381,.561,49.4,47.8,11.0,11.2,.528,14.2,26.5,.260
125,Iona,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,1370,872,2075,.420,229,721,.318,396,578,.685,495,1259,492,327,96,491,621,125,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,1370,820,1845,.444,268,821,.326,488,657,.743,342,1112,497,242,147,536,528,125,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,68.6,100.9,.279,.347,.504,53.1,56.4,13.9,9.4,.475,17.3,39.1,.191,125,34,17,17,.500,-8.30,-7.51,,12,8,,7,7,,7,7,,2369,2396,,68.6,102.0,.356,.445,.555,46.9,60.6,10.3,10.9,.517,19.9,30.9,.264
126,Iowa,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,1325,1011,2065,.490,322,847,.380,378,536,.705,286,1056,605,219,138,323,509,126,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,1325,975,2042,.477,273,793,.344,407,578,.704,366,1218,527,197,92,423,526,126,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,71.4,115.1,.260,.410,.587,46.4,59.8,9.3,11.0,.568,12.2,25.1,.183,126,33,17,16,.515,12.88,10.10,,7,13,,12,6,,2,8,,2722,2630,,71.4,111.2,.283,.388,.568,53.6,54.1,8.3,7.6,.544,15.4,32.2,.199
